batting_team,avg_pp_runs,avg_pp_wickets,avg_mo_rr,avg_death_sr,cr4,cr4_risk,pp_score,pp_preserve,mo_score,death_score,depth_score,batting_score
Chennai Super Kings,52.666666666666664,2.037037037037037,7.7281873683113,146.36867124107576,0.425,LOW,16.666666666666636,0.0,0.0,0.0,100.0,4.826949635833343
Delhi Capitals,50.074074074074076,1.9259259259259258,8.30563735527848,166.83734512722907,0.528,LOW,0.0,9.710982658959558,34.59656567620768,48.14271093971217,71.1484593837535,29.939986418947655
Gujarat Titans,53.892857142857146,0.8928571428571429,8.907415389302878,154.04905737883183,0.782,HIGH,24.54931972789116,100.0,70.65068940382248,18.06441451908105,0.0,34.80568422570853
Kolkata Knight Riders,50.56,1.68,7.767095321452616,151.1866513467557,0.574,MEDIUM,3.1238095238095247,31.20462427745666,2.331079031190386,11.331980998434075,58.26330532212888,0.0
Lucknow Super Giants,55.592592592592595,1.1481481481481481,8.135101292698316,160.2667211683251,0.663,MEDIUM,35.476190476190474,77.6878612716763,24.379296263485667,32.68847820795462,33.33333333333333,35.955182655994264
Mumbai Indians,55.57142857142857,1.4285714285714286,8.485114078360924,176.68194054300372,0.625,MEDIUM,35.34013605442174,53.179190751445084,45.34949385633292,71.29738691218296,43.97759103641457,62.97298553909888
Punjab Kings,59.166666666666664,1.6,8.794115725021227,179.90399032214543,0.623,MEDIUM,58.45238095238092,38.19653179190751,63.86260495515971,78.8757093776905,44.537815126050425,81.73667796840269
Rajasthan Royals,65.62962962962963,1.4814814814814814,8.378635702897592,148.77546495952566,0.658,MEDIUM,100.0,48.5549132947977,38.97009097650836,5.660824678888085,34.73389355742297,50.90379542276108
Royal Challengers Bengaluru,55.75,1.2857142857142858,9.397283637494736,188.88533365293222,0.641,MEDIUM,36.48809523809522,65.66473988439306,100.0,100.0,39.49579831932773,100.0
Sunrisers Hyderabad,58.46153846153846,1.5384615384615385,8.8902668489345,160.6274252274995,0.735,HIGH,53.91941391941389,43.57492218763895,69.62327470731923,33.53686102709568,13.165266106442589,49.52465327336144
